genre,avg_imdb_score
"History, Documentation",7.4
"Crime, Drama, Documentation, Thriller",7.4
"Drama, Family, Horror, Action, Fantasy, Animation, Comedy, Scifi, Thriller",7.4
"Documentation, Action",7.4
"Scifi, Action, Drama, Fantasy, Animation",7.4
"Family, Animation, Drama, Fantasy",7.4
"Drama, European, History",7.4
"Comedy, Drama, Family, Fantasy, Animation, Action",7.4
"Thriller, Horror, Crime, Scifi",7.4
"Sport, Documentation",7.4
"Drama, Family, Music, Documentation",7.4
"Comedy, Action, Romance, Family, Drama",7.4
"Drama, Comedy, Sport",7.4
"Drama, History, Sport",7.4
"Drama, War, History, Thriller, Family",7.4
"Action, Crime, Thriller, Drama",7.4
"Thriller, Crime, Drama, Romance, Action",7.4
"Drama, War, Action, History",7.4
"Drama, Crime, Action, Thriller",7.4
"Crime, Thriller, Drama, Action",7.4
"Action, Drama, History, War",7.4
"Thriller, Scifi, Drama, Crime, Action",7.4
"Thriller, Drama, Documentation, Fantasy, Music, Romance, European",7.4
"Drama, Crime, Sport",7.4
"Scifi, Drama, Action",7.4
"Scifi, Thriller, Drama, Horror, Fantasy",7.4
"Comedy, Drama, Western",7.4
"Drama, History, War, Documentation, Action",7.4
"Drama, Thriller, Crime, Horror, European",7.4
"Action, Crime, Drama, Romance",7.4
"Scifi, Thriller, Drama, Fantasy",7.4
"Action, Reality, Animation, Family, Comedy, Drama",7.4
"Comedy, Family, Documentation, Animation",7.4
"Animation, Comedy, European",7.4
"Comedy, Family, Scifi, Animation, European",7.4
"Comedy, Family, Action, Animation, European",7.4
"Documentation, Drama",7.3999999999999995
"Scifi, Drama, Fantasy, Action",7.3999999999999995
"Crime, Thriller, Drama",7.3846153846153841
"Documentation, History",7.3590909090909085
"Drama, Comedy, Romance, Action",7.35
"Thriller, Drama, Documentation",7.35
"Documentation, History, European",7.3375
"Drama, History, Thriller",7.325
"Crime, Thriller, Drama, European",7.3249999999999993
"Comedy, Drama, Romance, European",7.3000000000000007
"Scifi, Drama, Fantasy, Horror",7.3000000000000007
"Fantasy, Animation, Comedy, Drama, Family, Scifi",7.3
"Animation, Comedy, Family, Horror, Scifi",7.3
"Scifi, Comedy, Fantasy, Romance",7.3
"Drama, Family, Fantasy, Comedy",7.3
"Documentation, Crime, History, Sport",7.3
"Music, Documentation, History, Drama, European",7.3
"Drama, Romance, History, Music",7.3
"Scifi, Animation, Action, Drama, War",7.3
"Romance, Drama, History, War",7.3
"Thriller, Action, European",7.3
"Thriller, Crime, Fantasy, Drama",7.3
"Drama, Action, Romance",7.3
"Fantasy, Romance, Animation, Drama, Family",7.3
"Drama, Romance, Sport",7.3
"Comedy, Action, Animation, Romance, Family, Horror, Drama, Scifi",7.3
"Animation, Fantasy, Action, Romance, Comedy",7.3
"Western, Action, European",7.3
"Drama, Scifi, Action",7.3
"Drama, Crime, History, Thriller",7.3
"Drama, Action, Sport",7.3
"Drama, Comedy, Crime, Romance, Action",7.3
"Documentation, Crime, Drama",7.3
"Crime, Drama, Thriller, European",7.3
"Thriller, Crime, Drama, War, Romance",7.3
"Comedy, Thriller, Romance, Drama",7.3
"Western, Comedy, Drama, Romance",7.3
"Drama, History, Romance, War",7.3
"Drama, Thriller, Reality",7.3
"Scifi, Animation, Drama, Fantasy, Romance",7.3
"Scifi, Action, Drama, Animation",7.3
"Scifi, Romance, Animation, Action, Drama, Fantasy, Horror",7.3
"Scifi, Action, Animation, Comedy, Crime",7.3
"Action, Scifi, Western, Drama, Fantasy, Thriller",7.3
"Action, Fantasy, Thriller, Comedy, Family, Scifi, Romance, Animation",7.3
"Family, Comedy, Drama",7.3
"Scifi, Sport, Documentation, Reality",7.3
"Animation, Action, Comedy, Crime, Drama, Romance",7.3
"Documentation, Sport, Comedy, Drama",7.3
"Action, Drama, Romance",7.3
"Drama, Sport, Thriller, Crime",7.3
"Documentation, Drama, History, Romance, War",7.3
"War, Crime, Documentation, Thriller, Comedy, Drama",7.3
"Documentation, Drama, Thriller, Crime",7.3
"Scifi, Drama, Horror, Thriller",7.3
"Drama, Scifi, Thriller, Horror",7.3
"Crime, Sport, Documentation",7.3
"Scifi, Action, Drama, Thriller, Family",7.3
"Reality, Action",7.3
"Animation, Comedy, Fantasy",7.3
"Comedy, Family, Fantasy, Animation, Action",7.3
N/A,7.2799999999999994
"Drama, War",7.2749999999999995
"Documentation, Sport, Reality",7.25
"Drama, Comedy, Crime, European",7.25
"Animation, Comedy, Family, European",7.2333333333333325
Crime,7.2333333333333325
"Fantasy, Animation, Action",7.2166666666666668
"Documentation, Music",7.2025641025641018
"Comedy, Crime, Family, Fantasy, Scifi, Animation, Action, European",7.2
"Comedy, Horror, Scifi, European",7.2
"Scifi, Comedy, Drama, Fantasy",7.2
"Fantasy, Scifi, Animation, Action, Drama",7.2
"Drama, European, Romance, Family, Documentation",7.2
"Documentation, Crime, Music",7.2
"Drama, Family, Scifi",7.2
"Thriller, War, Drama, Action, History, European",7.2
"Drama, Thriller, Comedy",7.2
"Drama, Family, Thriller, Crime",7.2
"Thriller, Drama, History, European",7.2
"Scifi, Drama, War, Animation, Action",7.2
"Thriller, War, Action, Drama, History, European",7.2
"Drama, Crime, Action, Romance",7.2
"Comedy, Animation, Family, Fantasy, European",7.2
"Fantasy, Action, Comedy, Animation",7.2
"Fantasy, Drama, Animation, Action",7.2
"Thriller, Crime, Action, Drama",7.2
"Drama, Documentation, Crime, Romance",7.2
"Drama, Action, Crime, Comedy",7.2
"War, Drama",7.2
"Scifi, Drama, Comedy",7.2
"Scifi, Comedy, Fantasy, Animation, Action",7.2
"Scifi, Animation, Action, Fantasy",7.2
"Comedy, Drama, Action, Scifi, Animation",7.2
"Action, Animation, Drama, Thriller",7.2
"Crime, History, Fantasy, Drama, European",7.2
"Crime, History, Documentation",7.2
"Drama, Comedy, Scifi",7.2
"Comedy, Romance, Animation",7.2
"Romance, Fantasy, Comedy, Drama",7.2
"Scifi, Comedy, Family, Fantasy, Drama, Animation, Action",7.2
"Drama, Scifi, Fantasy, Family",7.2
"Animation, Action, Drama, Family, Fantasy",7.2
"Action, Animation, Family",7.2
"Scifi, Action, Family, Fantasy, Animation, Comedy, Drama",7.2
"Drama, Family, Animation, European",7.2
"Action, Comedy, Family, Fantasy, Scifi, Animation",7.2
"Scifi, Comedy, Family, Fantasy, Animation, Action, European",7.2
"Comedy, Family, Fantasy, Scifi, Animation, Action",7.2
"Scifi, Family, Fantasy, Animation, Comedy",7.2
"Scifi, Fantasy, Family, European",7.2
"Thriller, Crime, Drama, Scifi",7.1999999999999993
"Drama, History, War",7.1999999999999993
"Thriller, Comedy, Crime, Action",7.1999999999999993
"Action, Animation, Fantasy",7.16
"Comedy, Fantasy",7.1499999999999995
"Documentation, Sport",7.1363636363636358
"Drama, Documentation",7.125
"Drama, Thriller, Crime, European",7.125
"Drama, Action, Crime, Thriller",7.125
"Reality, European",7.1249999999999991
"Reality, Documentation",7.1222222222222227
"Drama, Comedy, Crime",7.1181818181818182
"Animation, Comedy, Drama, Family",7.1
"Animation, Comedy",7.1
"Animation, Scifi, Action, Drama, Fantasy, Thriller, Horror",7.1
"Documentation, Sport, War",7.1
"Action, War, Drama",7.1
"Comedy, Music, Scifi",7.1
"Thriller, European, Crime, Drama",7.1
"Thriller, Scifi, Drama, Crime, Horror",7.1
"Fantasy, Drama, Romance",7.1
"Drama, War, History, Documentation, European",7.1
"Fantasy, Action, European",7.1
"Thriller, War, Drama, European",7.1
"Drama, Romance, Comedy, History",7.1
"Romance, Family, History, Drama",7.1
"Action, Thriller, Crime, European",7.1
"Comedy, Animation, Action, Family, Fantasy, Drama",7.1
"Drama, Animation, Family, Comedy, Fantasy",7.1
"Horror, Thriller, Animation, Action, Fantasy, Comedy",7.1
"Horror, European",7.1
"Crime, Action, History",7.1
"Scifi, Thriller, Fantasy, Drama",7.1
"Thriller, Action, Crime, Western, European",7.1
"Crime, Drama, Comedy, War",7.1
"Horror, Drama, Fantasy, Thriller, European",7.1
"Drama, European, War, Romance",7.1
"Action, Scifi, Horror",7.1
"Scifi, Action, Fantasy, War, Animation",7.1
"Scifi, Animation, Drama, Fantasy",7.1
"Scifi, Romance, Animation, Action, Drama, Fantasy",7.1
"Crime, Horror, Thriller, Comedy, Drama",7.1
"Crime, Drama, History",7.1
"War, Drama, History, European",7.1
"Scifi, Crime, Fantasy, Romance, Comedy",7.1
"Drama, Romance, Comedy, Fantasy",7.1
"Comedy, Family, Animation, Drama, Horror, Thriller",7.1
"Comedy, Romance, Family",7.1
"Scifi, Action, Drama, Thriller, Horror, Animation, Fantasy, Crime",7.1
"Drama, Fantasy, Animation, Action, Crime",7.1
"Crime, Thriller, Drama, Documentation, Comedy, Romance",7.1
"Scifi, Drama, Animation, Action, Crime, Fantasy",7.1
"Drama, Scifi",7.1
"War, Action, Drama, History, Romance",7.1
"Drama, Music, Thriller",7.1
"Scifi, Drama, Fantasy, Thriller",7.1
"Reality, Documentation, Comedy, History",7.1
"Thriller, Horror, Family, Drama, Fantasy",7.1
"Comedy, Family, Action, Animation",7.1
"Animation, Action, Comedy, Family, Fantasy, Scifi",7.1
"Comedy, Scifi, Animation, Drama, Family",7.1
Documentation,7.0913580246913588
"Comedy, Drama, Crime",7.0777777777777766
"Documentation, Comedy",7.0666666666666673
"Fantasy, Drama, European",7.0666666666666664
"Drama, Thriller, Crime",7.0517241379310329
"Romance, Crime, Drama",7.0500000000000007
"Thriller, Crime, Drama, Horror",7.05
"Drama, Romance, European",7.0444444444444443
"Documentation, Crime, History",7.0333333333333332
"Action, Drama, History",7.025
"Drama, History",7.0050000000000008
"Animation, Documentation",7.0
"Drama, Crime, Fantasy, Action, Thriller",7.0
"Documentation, Music, Crime",7.0
"Action, Fantasy, Scifi, Drama",7.0
"Documentation, Music, Drama",7.0
"Action, Drama, Fantasy, Horror, Thriller",7.0
"Horror, Scifi, Thriller, European",7.0
"Drama, Comedy, Sport, European",7.0
"Romance, Drama, European, War",7.0
"Crime, Thriller, Action, Comedy",7.0
"Drama, Thriller, Action, Sport",7.0
"Comedy, Fantasy, Animation, Family, Drama",7.0
"Fantasy, Animation, Drama, Family",7.0
"Romance, Drama, War",7.0
"Drama, Romance, Thriller, Action, Comedy",7.0
"Comedy, Romance, Scifi",7.0
"Action, Animation, Comedy, Drama, Fantasy",7.0
"Comedy, Drama, Fantasy",7.0
"Drama, War, History",7.0
"Thriller, Action, War, European",7.0
"Drama, Action, Crime, Thriller, Documentation",7.0
"Drama, Crime, Thriller, European",7.0
"Crime, Drama, History, Action, European",7.0
"Drama, Romance, Thriller, Comedy",7.0
"Scifi, Action, Animation, Drama, Fantasy, Music, Romance",7.0
"Crime, Drama, Documentation, Fantasy",7.0
"Drama, History, War, Documentation",7.0
"Comedy, Drama, Family, Action, Documentation",7.0
"Crime, Action, Fantasy, Horror, Thriller, Animation, Scifi",7.0
"Action, Crime, Drama, Comedy",7.0
"Drama, Comedy, Fantasy, Romance",7.0
"Reality, Crime, Thriller",7.0
"Thriller, Drama, Fantasy, Horror, Scifi",7.0
"War, Thriller",7.0
"Comedy, Scifi, Drama, History",7.0
"Comedy, Fantasy, Animation, Action, Scifi",7.0
"Drama, Romance, History",7.0
"Comedy, Drama, Fantasy, Scifi, Thriller, Action",7.0
"Drama, Music",6.9999999999999991
"Drama, History, Action",6.9999999999999991
"Scifi, Action, Drama",6.9999999999999991
"Drama, Sport",6.9833333333333334
"Drama, Action, History, War",6.9666666666666668
"Drama, Crime",6.9634146341463419
"Music, Documentation",6.9600000000000009
"Animation, Action, Scifi",6.95
"Drama, Horror, Thriller, European",6.95
